ts,i,p,bp,ap,bv,av,v,to,oi,MA5,wall
1760823987002,HC2501,3055.06,3054.86,3055.26,27,14,41,125258,126000,3054.79,1760823987003
1760823987018,RB2501,3040.8,3040.6,3041,26,21,47,142918,112000,3040.43,1760823987033
1760823987018,HC2501,3055.36,3055.16,3055.56,9,41,50,152768,112000,3054.85,1760823987033
1760823987033,RB2501,3040.36,3040.16,3040.56,17,14,31,94251.1,112000,3040.55,1760823987033
1760823987033,HC2501,3054.67,3054.47,3054.87,30,6,36,109968,125000,3054.91,1760823987033
1760823987049,RB2501,3039.78,3039.58,3039.98,18,36,54,164148,134000,3040.45,1760823987064
1760823987049,HC2501,3055.41,3055.21,3055.61,42,43,85,259710,125000,3055,1760823987064
1760823987064,RB2501,3039.32,3039.12,3039.52,23,49,72,218831,141000,3040.22,1760823987064
1760823987064,HC2501,3054.82,3054.62,3055.02,5,15,20,61096.4,136000,3055.06,1760823987064
1760823987080,RB2501,3038.78,3038.58,3038.98,13,38,51,154978,137000,3039.81,1760823987095
1760823987080,HC2501,3055.53,3055.33,3055.73,44,8,52,158888,111000,3055.16,1760823987095
1760823987095,RB2501,3037.86,3037.66,3038.06,47,34,81,246066,120000,3039.22,1760823987095
1760823987095,HC2501,3054.93,3054.73,3055.13,41,14,55,168021,104000,3055.07,1760823987095
1760823987111,RB2501,3038.12,3037.92,3038.32,38,6,44,133677,128000,3038.77,1760823987127
1760823987111,HC2501,3055.56,3055.36,3055.76,4,47,51,155834,136000,3055.25,1760823987127
1760823987127,RB2501,3038.46,3038.26,3038.66,11,1,12,36461.5,134000,3038.51,1760823987127
1760823987127,HC2501,3055.67,3055.47,3055.87,42,16,58,177229,107000,3055.3,1760823987127
1760823987143,RB2501,3037.78,3037.58,3037.98,23,22,45,136700,131000,3038.2,1760823987158
1760823987143,HC2501,3056.21,3056.01,3056.41,9,28,37,113080,122000,3055.58,1760823987158
1760823987158,RB2501,3037.42,3037.22,3037.62,44,19,63,191358,116000,3037.93,1760823987158
1760823987158,HC2501,3056.88,3056.68,3057.08,50,2,52,158958,114000,3055.85,1760823987159
1760823987174,RB2501,3037.15,3036.95,3037.35,26,47,73,221712,129000,3037.79,1760823987189
1760823987174,HC2501,3056.7,3056.5,3056.9,32,6,38,116155,103000,3056.2,1760823987189
1760823987189,RB2501,3038.02,3037.82,3038.22,26,26,52,157977,114000,3037.77,1760823987189
1760823987189,HC2501,3056.3,3056.1,3056.5,12,5,17,51957.1,107000,3056.35,1760823987189
1760823987204,RB2501,3038.72,3038.52,3038.92,12,20,32,97239,102000,3037.82,1760823987220
1760823987204,HC2501,3057.19,3056.99,3057.39,47,11,58,177317,127000,3056.65,1760823987220
1760823987220,RB2501,3038.33,3038.13,3038.53,18,27,45,136725,142000,3037.93,1760823987250
1760823987220,HC2501,3058.16,3057.96,3058.36,19,24,43,131501,109000,3057.04,1760823987251
1760823987235,RB2501,3038.76,3038.56,3038.96,21,27,48,145861,142000,3038.2,1760823987251
1760823987235,HC2501,3058.42,3058.22,3058.62,24,47,71,217148,128000,3057.35,1760823987251
1760823987251,RB2501,3038.23,3038.03,3038.43,10,21,31,94185.2,121000,3038.41,1760823987281
1760823987251,HC2501,3057.43,3057.23,3057.63,21,16,37,113125,121000,3057.5,1760823987281
1760823987266,RB2501,3039.19,3038.99,3039.39,17,47,64,194508,104000,3038.65,1760823987281
1760823987266,HC2501,3057.96,3057.76,3058.16,47,36,83,253811,148000,3057.83,1760823987281
1760823987281,RB2501,3040.1,3039.9,3040.3,48,20,68,206727,140000,3038.92,1760823987312
1760823987281,HC2501,3058.82,3058.62,3059.02,40,24,64,195765,126000,3058.16,1760823987312
1760823987297,RB2501,3041.09,3040.89,3041.29,8,15,23,69945,144000,3039.47,1760823987312
1760823987297,HC2501,3058.26,3058.06,3058.46,24,26,50,152913,134000,3058.18,1760823987312
1760823987312,RB2501,3040.85,3040.65,3041.05,37,15,52,158124,114000,3039.89,1760823987343
1760823987312,HC2501,3057.47,3057.27,3057.67,7,25,32,97839.1,147000,3057.99,1760823987343
1760823987327,RB2501,3040.86,3040.66,3041.06,44,9,53,161166,120000,3040.42,1760823987343
1760823987327,HC2501,3057.24,3057.04,3057.44,1,36,37,113118,125000,3057.95,1760823987343
1760823987343,RB2501,3040.01,3039.81,3040.21,33,45,78,237121,138000,3040.58,1760823987358
1760823987343,HC2501,3057.96,3057.76,3058.16,49,19,68,207941,133000,3057.95,1760823987358
1760823987358,RB2501,3039.56,3039.36,3039.76,31,5,36,109424,113000,3040.47,1760823987358
1760823987358,HC2501,3057.33,3057.13,3057.53,37,49,86,262930,138000,3057.65,1760823987358
1760823987374,RB2501,3039.67,3039.47,3039.87,34,32,66,200618,121000,3040.19,1760823987389
1760823987374,HC2501,3056.43,3056.23,3056.63,29,43,72,220063,116000,3057.28,1760823987390
1760823987389,RB2501,3038.73,3038.53,3038.93,27,20,47,142821,127000,3039.76,1760823987390
1760823987389,HC2501,3055.82,3055.62,3056.02,50,41,91,278080,138000,3056.95,1760823987390
1760823987405,RB2501,3037.73,3037.53,3037.93,10,19,29,88094.3,129000,3039.14,1760823987437
1760823987405,HC2501,3055.05,3054.85,3055.25,33,15,48,146643,142000,3056.52,1760823987437
1760823987421,RB2501,3037.48,3037.28,3037.68,2,1,3,9112.43,110000,3038.63,1760823987437
1760823987421,HC2501,3054.79,3054.59,3054.99,41,41,82,250493,131000,3055.88,1760823987437
1760823987437,RB2501,3036.57,3036.37,3036.77,3,47,50,151828,136000,3038.04,1760823987467
1760823987437,HC2501,3053.88,3053.68,3054.08,37,3,40,122155,131000,3055.19,1760823987467
1760823987452,RB2501,3037.11,3036.91,3037.31,20,44,64,194375,134000,3037.52,1760823987467
1760823987452,HC2501,3054.53,3054.33,3054.73,49,36,85,259635,106000,3054.81,1760823987467
1760823987467,RB2501,3038.08,3037.88,3038.28,28,17,45,136713,125000,3037.39,1760823987499
1760823987467,HC2501,3055.14,3054.94,3055.34,47,17,64,195529,144000,3054.68,1760823987499
1760823987483,RB2501,3038.07,3037.87,3038.27,8,9,17,51647.2,110000,3037.46,1760823987499
1760823987483,HC2501,3054.14,3053.94,3054.34,8,42,50,152707,141000,3054.5,1760823987499
1760823987499,RB2501,3037.25,3037.05,3037.45,17,5,22,66819.6,135000,3037.42,1760823987529
1760823987499,HC2501,3054.45,3054.25,3054.65,5,3,8,24435.6,121000,3054.43,1760823987529
1760823987514,RB2501,3038.14,3037.94,3038.34,18,14,32,97220.5,146000,3037.73,1760823987529
1760823987514,HC2501,3054.36,3054.16,3054.56,20,42,62,189370,106000,3054.52,1760823987529
1760823987529,RB2501,3038.05,3037.85,3038.25,42,36,78,236968,143000,3037.92,1760823987560
1760823987529,HC2501,3054.07,3053.87,3054.27,23,15,38,116055,146000,3054.43,1760823987560
1760823987545,RB2501,3037.75,3037.55,3037.95,49,44,93,282510,118000,3037.85,1760823987560
1760823987545,HC2501,3053.56,3053.36,3053.76,10,4,14,42749.8,136000,3054.11,1760823987560
1760823987560,RB2501,3038.69,3038.49,3038.89,19,26,45,136741,130000,3037.98,1760823987591
1760823987560,HC2501,3052.8,3052.6,3053,18,39,57,174009,115000,3053.85,1760823987591
1760823987575,RB2501,3039.44,3039.24,3039.64,13,31,44,133735,110000,3038.41,1760823987591
1760823987575,HC2501,3052.49,3052.29,3052.69,30,16,46,140415,142000,3053.45,1760823987591
1760823987591,RB2501,3038.61,3038.41,3038.81,47,20,67,203587,126000,3038.51,1760823987607
1760823987591,HC2501,3052.29,3052.09,3052.49,18,46,64,195347,147000,3053.04,1760823987607
1760823987607,RB2501,3038.2,3038,3038.4,45,39,84,255209,122000,3038.54,1760823987607
1760823987607,HC2501,3052.07,3051.87,3052.27,15,27,42,128187,108000,3052.64,1760823987607
1760823987623,RB2501,3038.05,3037.85,3038.25,37,15,52,157979,114000,3038.6,1760823987638
1760823987623,HC2501,3052.03,3051.83,3052.23,20,10,30,91560.8,106000,3052.34,1760823987638
1760823987638,RB2501,3038.62,3038.42,3038.82,8,45,53,161047,135000,3038.58,1760823987638
1760823987638,HC2501,3052.59,3052.39,3052.79,15,30,45,137367,114000,3052.29,1760823987638
1760823987653,RB2501,3039.17,3038.97,3039.37,43,36,79,240095,101000,3038.53,1760823987669
1760823987653,HC2501,3051.78,3051.58,3051.98,38,23,61,186159,130000,3052.15,1760823987669
1760823987669,RB2501,3038.95,3038.75,3039.15,17,2,19,57740,139000,3038.6,1760823987700
1760823987669,HC2501,3051.29,3051.09,3051.49,17,38,55,167821,117000,3051.95,1760823987700
1760823987685,RB2501,3039.5,3039.3,3039.7,44,47,91,276595,145000,3038.86,1760823987700
1760823987685,HC2501,3050.82,3050.62,3051.02,23,32,55,167795,125000,3051.7,1760823987700
1760823987700,RB2501,3040.25,3040.05,3040.45,10,41,51,155053,105000,3039.3,1760823987734
1760823987700,HC2501,3050.22,3050.02,3050.42,17,37,54,164712,112000,3051.34,1760823987734
1760823987715,RB2501,3039.68,3039.48,3039.88,37,1,38,115508,142000,3039.51,1760823987734
1760823987715,HC2501,3050.39,3050.19,3050.59,12,23,35,106764,110000,3050.9,1760823987734
1760823987730,RB2501,3039.91,3039.71,3040.11,2,43,45,136796,113000,3039.66,1760823987746
1760823987730,HC2501,3049.63,3049.43,3049.83,46,6,52,158581,107000,3050.47,1760823987746
1760823987746,RB2501,3039.87,3039.67,3040.07,48,44,92,279668,142000,3039.84,1760823987746
1760823987746,HC2501,3049.98,3049.78,3050.18,34,38,72,219599,147000,3050.21,1760823987746
1760823987762,RB2501,3040.46,3040.26,3040.66,48,5,53,161144,149000,3040.03,1760823987793
1760823987762,HC2501,3049.8,3049.6,3050,19,11,30,91493.9,138000,3050,1760823987793
1760823987777,RB2501,3040.3,3040.1,3040.5,48,3,51,155056,126000,3040.04,1760823987793
1760823987777,HC2501,3050.33,3050.13,3050.53,3,17,20,61006.6,144000,3050.03,1760823987793
1760823987793,RB2501,3039.37,3039.17,3039.57,44,9,53,161087,149000,3039.98,1760823987823
1760823987793,HC2501,3050.88,3050.68,3051.08,7,38,45,137290,139000,3050.12,1760823987824
1760823987808,RB2501,3038.54,3038.34,3038.74,47,19,66,200544,117000,3039.71,1760823987824
1760823987808,HC2501,3050.23,3050.03,3050.43,43,34,77,234867,112000,3050.24,1760823987824
1760823987823,RB2501,3037.86,3037.66,3038.06,40,37,77,233915,101000,3039.31,1760823987838
1760823987823,HC2501,3050.39,3050.19,3050.59,28,14,42,128116,126000,3050.32,1760823987839
1760823987838,RB2501,3037.46,3037.26,3037.66,19,45,64,194398,134000,3038.71,1760823987839
1760823987838,HC2501,3050.77,3050.57,3050.97,1,17,18,54913.8,119000,3050.52,1760823987839
1760823987854,RB2501,3037.9,3037.7,3038.1,17,19,36,109364,136000,3038.23,1760823987886
1760823987854,HC2501,3050.06,3049.86,3050.26,47,20,67,204354,125000,3050.46,1760823987886
1760823987870,RB2501,3037.64,3037.44,3037.84,50,24,74,224786,101000,3037.88,1760823987886
1760823987870,HC2501,3049.23,3049.03,3049.43,24,37,61,186003,123000,3050.13,1760823987886
1760823987886,RB2501,3038.64,3038.44,3038.84,41,9,50,151932,119000,3037.9,1760823987916
1760823987886,HC2501,3048.27,3048.07,3048.47,50,23,73,222524,135000,3049.74,1760823987916
1760823987901,RB2501,3038.54,3038.34,3038.74,29,48,77,233967,131000,3038.04,1760823987916
1760823987901,HC2501,3048.9,3048.7,3049.1,21,4,25,76222.5,112000,3049.45,1760823987916
1760823987916,RB2501,3038.5,3038.3,3038.7,35,2,37,112424,134000,3038.24,1760823987917
1760823987916,HC2501,3049.88,3049.68,3050.08,18,17,35,106746,124000,3049.27,1760823987917
1760823987932,RB2501,3039.38,3039.18,3039.58,26,34,60,182363,143000,3038.54,1760823987947
1760823987932,HC2501,3050.35,3050.15,3050.55,32,35,67,204374,147000,3049.33,1760823987947
1760823987947,RB2501,3039.58,3039.38,3039.78,50,4,54,164137,110000,3038.93,1760823987947
1760823987947,HC2501,3050.2,3050,3050.4,33,13,46,140309,114000,3049.52,1760823987948
1760823987962,RB2501,3040.32,3040.12,3040.52,3,39,42,127693,108000,3039.26,1760823987978
1760823987962,HC2501,3049.74,3049.54,3049.94,46,44,90,274477,138000,3049.82,1760823987978
1760823987978,RB2501,3040.72,3040.52,3040.92,25,3,28,85140,104000,3039.7,1760823988009
1760823987978,HC2501,3049.18,3048.98,3049.38,41,44,85,259180,108000,3049.87,1760823988010
1760823987994,RB2501,3040.29,3040.09,3040.49,13,3,16,48644.6,124000,3040.06,1760823988010
1760823987994,HC2501,3049.57,3049.37,3049.77,42,16,58,176875,136000,3049.81,1760823988010
1760823988010,RB2501,3040.1,3039.9,3040.3,14,10,24,72962.4,114000,3040.2,1760823988040
1760823988010,HC2501,3050.31,3050.11,3050.51,44,50,94,286729,113000,3049.8,1760823988040
1760823988025,RB2501,3039.28,3039.08,3039.48,42,16,58,176278,150000,3040.14,1760823988040
1760823988025,HC2501,3050.83,3050.63,3051.03,24,50,74,225762,143000,3049.93,1760823988040
1760823988040,RB2501,3040.1,3039.9,3040.3,37,25,62,188486,121000,3040.1,1760823988071
1760823988040,HC2501,3050.18,3049.98,3050.38,23,27,50,152509,150000,3050.01,1760823988071
1760823988056,RB2501,3039.42,3039.22,3039.62,42,50,92,279627,147000,3039.84,1760823988071
1760823988056,HC2501,3049.4,3049.2,3049.6,47,23,70,213458,107000,3050.06,1760823988072
1760823988071,RB2501,3040.11,3039.91,3040.31,25,41,66,200647,135000,3039.8,1760823988087
1760823988071,HC2501,3048.83,3048.63,3049.03,6,27,33,100611,141000,3049.91,1760823988087
1760823988087,RB2501,3041.01,3040.81,3041.21,50,11,61,185501,127000,3039.98,1760823988087
1760823988087,HC2501,3048.04,3047.84,3048.24,25,32,57,173738,145000,3049.46,1760823988087
1760823988102,RB2501,3040.42,3040.22,3040.62,8,45,53,161142,150000,3040.21,1760823988118
1760823988102,HC2501,3047.7,3047.5,3047.9,26,43,69,210291,114000,3048.83,1760823988118
1760823988118,RB2501,3041.08,3040.88,3041.28,12,27,39,118602,144000,3040.41,1760823988118
1760823988118,HC2501,3047.52,3047.32,3047.72,22,18,40,121901,133000,3048.3,1760823988118
1760823988134,RB2501,3040.63,3040.43,3040.83,17,17,34,103382,121000,3040.65,1760823988149
1760823988134,HC2501,3047.04,3046.84,3047.24,16,41,57,173681,139000,3047.82,1760823988149
1760823988149,RB2501,3039.92,3039.72,3040.12,35,21,56,170236,136000,3040.61,1760823988149
1760823988149,HC2501,3046.41,3046.21,3046.61,18,9,27,82253.1,141000,3047.34,1760823988149
1760823988165,RB2501,3039.8,3039.6,3040,13,42,55,167189,105000,3040.37,1760823988179
1760823988165,HC2501,3046.56,3046.36,3046.76,13,29,42,127956,145000,3047.05,1760823988179
1760823988179,RB2501,3040.34,3040.14,3040.54,19,44,63,191541,128000,3040.35,1760823988179
1760823988179,HC2501,3046.51,3046.31,3046.71,6,48,54,164511,142000,3046.81,1760823988179
1760823988195,RB2501,3039.88,3039.68,3040.08,10,32,42,127675,145000,3040.12,1760823988227
1760823988195,HC2501,3045.74,3045.54,3045.94,9,9,18,54823.3,106000,3046.45,1760823988227
1760823988211,RB2501,3039.11,3038.91,3039.31,12,25,37,112447,145000,3039.81,1760823988227
1760823988211,HC2501,3045.83,3045.63,3046.03,3,17,20,60916.6,117000,3046.21,1760823988227
1760823988227,RB2501,3038.68,3038.48,3038.88,30,18,48,145857,117000,3039.56,1760823988242
1760823988227,HC2501,3046.37,3046.17,3046.57,22,21,43,130994,147000,3046.2,1760823988242
1760823988242,RB2501,3038.88,3038.68,3039.08,6,6,12,36466.5,122000,3039.38,1760823988242
1760823988242,HC2501,3045.76,3045.56,3045.96,38,39,77,234523,136000,3046.04,1760823988242
1760823988258,RB2501,3039.85,3039.65,3040.05,35,4,39,118554,115000,3039.28,1760823988288
1760823988258,HC2501,3044.8,3044.6,3045,33,19,52,158330,130000,3045.7,1760823988288
1760823988273,RB2501,3039.09,3038.89,3039.29,27,8,35,106368,114000,3039.12,1760823988288
1760823988273,HC2501,3044.77,3044.57,3044.97,40,38,78,237492,115000,3045.51,1760823988288
1760823988288,RB2501,3038.81,3038.61,3039.01,7,1,8,24310.5,127000,3039.06,1760823988319
1760823988288,HC2501,3044.95,3044.75,3045.15,20,24,44,133978,145000,3045.33,1760823988319
1760823988303,RB2501,3038.88,3038.68,3039.08,25,33,58,176255,110000,3039.1,1760823988319
1760823988303,HC2501,3045.15,3044.95,3045.35,19,41,60,182709,134000,3045.09,1760823988319
1760823988319,RB2501,3038.83,3038.63,3039.03,47,5,52,158019,104000,3039.09,1760823988350
1760823988319,HC2501,3044.2,3044,3044.4,26,32,58,176564,138000,3044.77,1760823988351
1760823988335,RB2501,3039.04,3038.84,3039.24,9,29,38,115484,141000,3038.93,1760823988351
1760823988335,HC2501,3043.84,3043.64,3044.04,38,2,40,121753,131000,3044.58,1760823988351
1760823988350,RB2501,3039.55,3039.35,3039.75,44,2,46,139819,120000,3039.02,1760823988380
1760823988350,HC2501,3044.13,3043.93,3044.33,16,41,57,173516,107000,3044.46,1760823988380
1760823988365,RB2501,3039.99,3039.79,3040.19,3,28,31,94239.8,107000,3039.26,1760823988380
1760823988365,HC2501,3044.52,3044.32,3044.72,8,13,21,63934.8,136000,3044.37,1760823988380
1760823988380,RB2501,3039.71,3039.51,3039.91,6,41,47,142866,130000,3039.43,1760823988396
1760823988380,HC2501,3043.97,3043.77,3044.17,35,28,63,191770,118000,3044.13,1760823988396
1760823988396,RB2501,3040.09,3039.89,3040.29,49,16,65,197606,108000,3039.68,1760823988396
1760823988396,HC2501,3043.65,3043.45,3043.85,30,2,32,97396.9,127000,3044.02,1760823988396
1760823988411,RB2501,3040.65,3040.45,3040.85,37,32,69,209805,110000,3040,1760823988442
1760823988411,HC2501,3043.97,3043.77,3044.17,19,31,50,152199,107000,3044.05,1760823988443
1760823988427,RB2501,3041.03,3040.83,3041.23,35,39,74,225036,117000,3040.29,1760823988443
1760823988427,HC2501,3044.7,3044.5,3044.9,29,38,67,203995,107000,3044.16,1760823988443
1760823988442,RB2501,3040.43,3040.23,3040.63,20,30,50,152022,148000,3040.38,1760823988473
1760823988442,HC2501,3045.29,3045.09,3045.49,21,5,26,79177.5,132000,3044.32,1760823988473
1760823988457,RB2501,3040.46,3040.26,3040.66,37,15,52,158104,144000,3040.53,1760823988473
1760823988457,HC2501,3044.55,3044.35,3044.75,13,37,50,152227,141000,3044.43,1760823988473
1760823988473,RB2501,3039.63,3039.43,3039.83,14,48,62,188457,130000,3040.44,1760823988504
1760823988473,HC2501,3044.67,3044.47,3044.87,36,32,68,207037,148000,3044.64,1760823988504
1760823988489,RB2501,3040.3,3040.1,3040.5,46,23,69,209780,108000,3040.37,1760823988504
1760823988489,HC2501,3044.38,3044.18,3044.58,39,37,76,231373,144000,3044.72,1760823988504
1760823988504,RB2501,3041.24,3041.04,3041.44,11,7,18,54742.3,117000,3040.41,1760823988535
1760823988504,HC2501,3044.05,3043.85,3044.25,31,45,76,231348,119000,3044.59,1760823988535
1760823988519,RB2501,3040.4,3040.2,3040.6,32,7,39,118576,120000,3040.41,1760823988535
1760823988519,HC2501,3043.43,3043.23,3043.63,31,27,58,176519,145000,3044.21,1760823988535
1760823988535,RB2501,3040.19,3039.99,3040.39,6,39,45,136809,137000,3040.35,1760823988550
1760823988535,HC2501,3043.22,3043.02,3043.42,7,37,44,133901,102000,3043.95,1760823988550
1760823988550,RB2501,3039.91,3039.71,3040.11,10,14,24,72957.8,118000,3040.41,1760823988550
1760823988550,HC2501,3043.23,3043.03,3043.43,39,47,86,261717,148000,3043.66,1760823988550
1760823988565,RB2501,3039.05,3038.85,3039.25,1,45,46,139796,112000,3040.16,1760823988581
1760823988565,HC2501,3044.05,3043.85,3044.25,31,46,77,234392,106000,3043.59,1760823988582
1760823988581,RB2501,3040.01,3039.81,3040.21,11,22,33,100320,137000,3039.91,1760823988582
1760823988581,HC2501,3043.63,3043.43,3043.83,35,22,57,173487,131000,3043.51,1760823988582
1760823988597,RB2501,3039.99,3039.79,3040.19,46,13,59,179359,135000,3039.83,1760823988628
1760823988597,HC2501,3044.35,3044.15,3044.55,2,18,20,60887,129000,3043.69,1760823988628
1760823988613,RB2501,3039.36,3039.16,3039.56,48,20,68,206676,121000,3039.66,1760823988628
1760823988613,HC2501,3045.13,3044.93,3045.33,21,25,46,140076,134000,3044.08,1760823988628
1760823988628,RB2501,3039.04,3038.84,3039.24,3,2,5,15195.2,119000,3039.49,1760823988628
1760823988628,HC2501,3044.49,3044.29,3044.69,20,47,67,203981,144000,3044.33,1760823988629
1760823988644,RB2501,3039.29,3039.09,3039.49,36,15,51,155004,144000,3039.54,1760823988675
1760823988644,HC2501,3044.97,3044.77,3045.17,36,43,79,240553,126000,3044.51,1760823988675
1760823988659,RB2501,3040.28,3040.08,3040.48,30,9,39,118571,144000,3039.59,1760823988675
1760823988659,HC2501,3044.09,3043.89,3044.29,49,30,79,240483,147000,3044.61,1760823988675
1760823988675,RB2501,3040.67,3040.47,3040.87,13,23,36,109464,149000,3039.73,1760823988675
1760823988675,HC2501,3044.79,3044.59,3044.99,50,48,98,298389,121000,3044.69,1760823988675
1760823988690,RB2501,3041.28,3041.08,3041.48,3,35,38,115568,140000,3040.11,1760823988721
1760823988690,HC2501,3045.45,3045.25,3045.65,25,27,52,158364,125000,3044.76,1760823988721
1760823988706,RB2501,3040.84,3040.64,3041.04,1,49,50,152042,116000,3040.47,1760823988721
1760823988706,HC2501,3045.47,3045.27,3045.67,44,43,87,264956,150000,3044.95,1760823988721
1760823988721,RB2501,3040.6,3040.4,3040.8,49,45,94,285816,146000,3040.73,1760823988753
1760823988721,HC2501,3044.95,3044.75,3045.15,22,18,40,121798,102000,3044.95,1760823988753
1760823988737,RB2501,3041.12,3040.92,3041.32,45,6,51,155097,140000,3040.9,1760823988753
1760823988737,HC2501,3044.1,3043.9,3044.3,42,27,69,210043,150000,3044.95,1760823988753
1760823988753,RB2501,3040.5,3040.3,3040.7,33,4,37,112498,140000,3040.87,1760823988753
1760823988753,HC2501,3044.05,3043.85,3044.25,20,20,40,121762,112000,3044.8,1760823988753
1760823988769,RB2501,3041.04,3040.84,3041.24,27,28,55,167257,106000,3040.82,1760823988785
1760823988769,HC2501,3043.09,3042.89,3043.29,34,28,62,188672,119000,3044.33,1760823988785
1760823988785,RB2501,3041.63,3041.43,3041.83,32,45,77,234205,104000,3040.98,1760823988785
1760823988785,HC2501,3042.66,3042.46,3042.86,40,45,85,258626,131000,3043.77,1760823988785
1760823988800,RB2501,3041.31,3041.11,3041.51,14,6,20,60826.2,124000,3041.12,1760823988832
1760823988800,HC2501,3042.03,3041.83,3042.23,34,5,39,118639,123000,3043.19,1760823988832
1760823988816,RB2501,3040.43,3040.23,3040.63,28,50,78,237153,125000,3040.98,1760823988832
1760823988816,HC2501,3042.07,3041.87,3042.27,46,24,70,212945,115000,3042.78,1760823988832
1760823988832,RB2501,3040.32,3040.12,3040.52,33,43,76,231064,114000,3040.94,1760823988862
1760823988832,HC2501,3042.49,3042.29,3042.69,24,9,33,100402,147000,3042.47,1760823988862
1760823988847,RB2501,3039.49,3039.29,3039.69,20,39,59,179330,126000,3040.64,1760823988862
1760823988847,HC2501,3043.35,3043.15,3043.55,16,25,41,124777,127000,3042.52,1760823988862
1760823988862,RB2501,3039.09,3038.89,3039.29,50,31,81,246166,148000,3040.13,1760823988878
1760823988862,HC2501,3042.37,3042.17,3042.57,2,26,28,85186.4,129000,3042.46,1760823988878
1760823988878,RB2501,3039.46,3039.26,3039.66,9,23,32,97262.7,108000,3039.76,1760823988878
1760823988878,HC2501,3043.13,3042.93,3043.33,12,19,31,94337.1,127000,3042.68,1760823988878
1760823988894,RB2501,3039.43,3039.23,3039.63,9,33,42,127656,128000,3039.56,1760823988925
1760823988894,HC2501,3042.82,3042.62,3043.02,25,3,28,85198.9,133000,3042.83,1760823988925
1760823988910,RB2501,3038.78,3038.58,3038.98,11,4,15,45581.7,126000,3039.25,1760823988925
1760823988910,HC2501,3043.36,3043.16,3043.56,13,33,46,139995,146000,3043.01,1760823988925
1760823988925,RB2501,3039.08,3038.88,3039.28,22,21,43,130681,145000,3039.17,1760823988940
1760823988925,HC2501,3044.21,3044.01,3044.41,21,21,42,127857,124000,3043.18,1760823988940
1760823988940,RB2501,3038.77,3038.57,3038.97,5,22,27,82046.7,131000,3039.1,1760823988940
1760823988940,HC2501,3044.79,3044.59,3044.99,31,22,53,161374,137000,3043.66,1760823988940
1760823988956,RB2501,3039.34,3039.14,3039.54,43,6,49,148928,143000,3039.08,1760823988971
1760823988956,HC2501,3044.4,3044.2,3044.6,21,13,34,103510,135000,3043.92,1760823988971
1760823988971,RB2501,3038.68,3038.48,3038.88,10,7,17,51657.5,121000,3038.93,1760823988971
1760823988971,HC2501,3044.93,3044.73,3045.13,6,24,30,91347.8,131000,3044.34,1760823988971
