t_start_ms,i,o,h,l,c,v,n
1760823240000,HC2501,2996.02,3001.91,2990.13,2996.68,16612,322
1760823245000,RB2501,2945.1,2956.89,2943.4,2943.99,16357,323
1760823245000,HC2501,2995.81,3001.3,2987.48,2992.85,16468,323
1760823250000,RB2501,2944.12,2952.78,2941.62,2949.15,16077,322
1760823250000,HC2501,2993.28,2993.28,2966.9,2972.73,17038,322
1760823255000,RB2501,2949.71,2951.97,2935.7,2938.09,16495,323
1760823255000,HC2501,2972.58,2983.92,2961.27,2983.92,16444,323
1760823260000,RB2501,2937.37,2941.05,2927.99,2930.68,15669,323
1760823260000,HC2501,2983.05,2999.3,2983.05,2995.01,17264,323
1760823265000,RB2501,2929.92,2944.35,2929.06,2935.84,16545,323
1760823265000,HC2501,2994.29,2995.38,2979.93,2982.7,16076,323
1760823270000,RB2501,2936.02,2937.34,2923.24,2927.28,16311,323
1760823270000,HC2501,2983.06,2993.8,2971.24,2974.85,16457,323
1760823275000,RB2501,2926.87,2933.04,2919.58,2930.71,16189,323
1760823275000,HC2501,2975.36,2985.36,2971.09,2981.69,15879,323
1760823280000,RB2501,2931.39,2957.02,2931.39,2956.15,16137,323
1760823280000,HC2501,2981.08,2985.11,2966.23,2968.44,17293,323
1760823285000,RB2501,2956.84,2961.42,2947.94,2949.41,16614,323
1760823285000,HC2501,2968.12,2985.38,2967.53,2979.59,16869,323
1760823290000,RB2501,2949.58,2950.86,2941.44,2945.43,16010,322
1760823290000,HC2501,2980.13,2988.29,2976.4,2984.09,15901,322
1760823295000,RB2501,2944.69,2953.93,2939.11,2946.07,16097,323
1760823295000,HC2501,2984.53,2984.67,2960.55,2961.78,16125,323
1760823300000,RB2501,2946.79,2950.27,2938.59,2943.89,17257,323
1760823300000,HC2501,2960.87,2966.38,2953.33,2961.01,16312,323
1760823305000,RB2501,2943.73,2952.81,2941.82,2943.35,16036,322
1760823305000,HC2501,2960.61,2960.99,2947.36,2951.63,16794,322
1760823310000,RB2501,2943.48,2953.09,2937.4,2953.09,16632,322
1760823310000,HC2501,2952.28,2958.57,2942.35,2950.94,16562,322
1760823315000,RB2501,2953,2966.03,2948.79,2966.03,16506,323
1760823315000,HC2501,2950.09,2953.48,2938.78,2949.39,17105,323
1760823320000,RB2501,2966.47,2977.47,2963.14,2963.78,16732,322
1760823320000,HC2501,2949.39,2951.28,2941.79,2944.87,16022,322
1760823325000,RB2501,2962.95,2982.46,2962.95,2971.49,16802,322
1760823325000,HC2501,2945.3,2955.07,2938.48,2954.58,16069,322
1760823330000,RB2501,2970.51,2978.32,2967.08,2974.9,16130,323
1760823330000,HC2501,2953.76,2960.67,2950.39,2954.02,16595,323
1760823335000,RB2501,2975.39,2977.32,2966.4,2969.66,16667,322
1760823335000,HC2501,2955.01,2961.73,2948.32,2960.54,15749,322
1760823340000,RB2501,2970.59,2977.01,2964.23,2970.8,17050,323
1760823340000,HC2501,2961.15,2963.19,2946.35,2949.67,16802,323
1760823345000,RB2501,2970.2,2977.6,2969.22,2974.04,16220,322
1760823345000,HC2501,2949.59,2962.74,2949.59,2951.6,16166,322
1760823350000,RB2501,2973.67,2976.93,2956.24,2958.03,16253,323
1760823350000,HC2501,2950.69,2968.07,2946.89,2968.07,16120,323
1760823355000,RB2501,2958.15,2965.73,2944.41,2944.48,15578,321
1760823355000,HC2501,2967.25,2975.02,2963.9,2967.34,16447,321
1760823360000,RB2501,2944.85,2952.66,2942.47,2952.43,16625,323
1760823360000,HC2501,2967.2,2987.44,2965.62,2985.19,16613,323
1760823365000,RB2501,2952.26,2966.38,2948.46,2962.44,16422,323
1760823365000,HC2501,2984.47,2994.04,2980.88,2984.3,17005,323
1760823370000,RB2501,2962.85,2962.85,2946.08,2953.44,16073,322
1760823370000,HC2501,2984.94,2989.44,2977.24,2985.78,16722,322
1760823375000,RB2501,2953.6,2964.11,2948.11,2958.19,15995,322
1760823375000,HC2501,2986.51,2998.46,2984.77,2990.51,16879,322
1760823380000,RB2501,2957.24,2969.59,2955.62,2960.58,16390,323
1760823380000,HC2501,2990.64,2998.23,2984.54,2984.82,16937,323
1760823385000,RB2501,2959.64,2982.38,2959.64,2969.51,16430,322
1760823385000,HC2501,2983.87,2999.4,2982.2,2999.1,16600,322
1760823390000,RB2501,2969.25,2977.69,2964.86,2974.31,17041,322
1760823390000,HC2501,2998.95,3022.77,2996.59,3020.71,16533,322
1760823395000,RB2501,2974.97,2984.92,2972.97,2976.48,16292,323
1760823395000,HC2501,3021.17,3025.59,3013.14,3025.59,16134,323
1760823400000,RB2501,2975.91,2979.39,2963.07,2965.09,16337,322
1760823400000,HC2501,3025.04,3025.54,3012.38,3023.42,16321,322
1760823405000,RB2501,2965.23,2967.26,2945.05,2950.92,17398,323
1760823405000,HC2501,3022.72,3043.3,3018.76,3043.29,16590,323
1760823410000,RB2501,2950.52,2954.76,2944.38,2953.34,17466,323
1760823410000,HC2501,3042.41,3052.11,3035.05,3050.29,15787,323
1760823415000,RB2501,2953.63,2956.9,2947.02,2956.9,16188,322
1760823415000,HC2501,3050.98,3057.57,3036.48,3039.1,16528,322
1760823420000,RB2501,2956.98,2962.59,2947.79,2962.59,15613,323
1760823420000,HC2501,3039.24,3040.87,3030.3,3030.91,16914,323
1760823425000,RB2501,2963.09,2972.14,2956.7,2967.85,15949,323
1760823425000,HC2501,3031.9,3043.01,3031.85,3040.23,16476,323
1760823430000,RB2501,2968.72,2976.6,2953.07,2953.66,16579,322
1760823430000,HC2501,3039.67,3046.64,3037.68,3042.12,15784,322
1760823435000,RB2501,2953.51,2961.14,2948.49,2960.2,16792,322
1760823435000,HC2501,3042.57,3056.51,3038.97,3054.17,16850,322
1760823440000,RB2501,2960.36,2978.86,2960.36,2969.39,16590,323
1760823440000,HC2501,3054.85,3061.4,3044.93,3047.68,16125,323
1760823445000,RB2501,2968.57,2983.64,2968.1,2979.63,17359,322
1760823445000,HC2501,3047.54,3050.95,3041.13,3042.5,16121,322
1760823450000,RB2501,2978.79,2985.5,2969.87,2971.98,16461,323
1760823450000,HC2501,3042.46,3052.9,3041.29,3048.71,15982,323
1760823455000,RB2501,2972.34,2977.79,2963.2,2963.5,16224,322
1760823455000,HC2501,3048.07,3068.96,3046.15,3061.13,16275,322
1760823460000,RB2501,2962.53,2970.69,2959.36,2960.99,16599,322
1760823460000,HC2501,3060.51,3072.41,3060.4,3061.98,17004,322
1760823465000,RB2501,2960.08,2965.36,2954.89,2964.8,16135,322
1760823465000,HC2501,3061.44,3072.8,3047.79,3047.79,16742,322
1760823470000,RB2501,2965.67,2981.06,2964.96,2979.78,16209,323
1760823470000,HC2501,3047.21,3050.49,3042.29,3047.89,16508,323
1760823475000,RB2501,2979.74,2981.81,2974.28,2979.14,16229,322
1760823475000,HC2501,3047.03,3050.17,3033.27,3042.01,16473,322
1760823480000,RB2501,2979.87,2990.62,2976.84,2988.07,16378,322
1760823480000,HC2501,3042.45,3044.35,3025.14,3026.35,16222,322
1760823485000,RB2501,2988.32,2999.34,2982.76,2999.34,16664,322
1760823485000,HC2501,3026.22,3030.61,3016.64,3017.98,16274,322
1760823490000,RB2501,2998.69,3016.9,2997.85,3013.78,16554,323
1760823490000,HC2501,3017.18,3017.52,2997.05,3003.44,16129,323
1760823495000,RB2501,3013.65,3017.56,3007.01,3015.05,15797,322
1760823495000,HC2501,3003.09,3023.79,3001.63,3012.28,16345,322
1760823500000,RB2501,3015.59,3024.68,3010.04,3012.62,16381,321
1760823500000,HC2501,3012.16,3033.95,3006.22,3032.72,16591,321
1760823505000,RB2501,3011.93,3013.83,2995.92,3001.5,16269,322
1760823505000,HC2501,3033.55,3035.93,3023.51,3027.31,16700,322
1760823510000,RB2501,3001.43,3002.16,2980.35,2981.9,16611,322
1760823510000,HC2501,3026.91,3026.91,3010.76,3012.43,16177,322
1760823515000,RB2501,2982.61,2992.28,2980.79,2991.65,16224,322
1760823515000,HC2501,3012.33,3023.6,3007.69,3010.81,16527,322
1760823520000,RB2501,2991.09,3001.22,2984.38,3000.69,16512,322
1760823520000,HC2501,3010.62,3015.52,3003.17,3015.13,17446,322
1760823525000,RB2501,2999.83,3010.76,2997.88,3000.06,16391,322
1760823525000,HC2501,3014.8,3023.21,3009.46,3019.22,16233,322
1760823530000,RB2501,2999.87,3025.76,2996.02,3024.28,16385,322
1760823530000,HC2501,3019.26,3024.95,3015.48,3020.67,16717,322
1760823535000,RB2501,3024.52,3039.44,3017.77,3037.66,16668,322
1760823535000,HC2501,3019.95,3020.87,3003.93,3011.38,16214,322
1760823540000,RB2501,3037.66,3040.56,3018.96,3027.23,16601,322
1760823540000,HC2501,3010.51,3011.76,2993.01,2996.3,17083,322
1760823545000,RB2501,3027.71,3033.8,3023.88,3031.18,16480,322
1760823545000,HC2501,2995.41,2995.73,2987.13,2993.99,16209,322
1760823550000,RB2501,3031.72,3045.67,3028.75,3043.66,15978,322
1760823550000,HC2501,2993.64,3012.21,2991.78,3012.21,16118,322
1760823555000,RB2501,3043.54,3055.46,3041.08,3049.2,15859,322
1760823555000,HC2501,3011.58,3022.19,3005.9,3012.88,16595,322
1760823560000,RB2501,3050.07,3061.25,3036.7,3038.65,17030,322
1760823560000,HC2501,3013.03,3017.2,2994.66,2999.76,16761,322
1760823565000,RB2501,3038.14,3047.66,3031.15,3032.06,16332,322
1760823565000,HC2501,2999.5,3016.25,2995.17,3009.37,16739,322
1760823570000,RB2501,3032.02,3036.27,3027.75,3029.18,16497,321
1760823570000,HC2501,3009.62,3018.4,2998.42,3015.03,16095,321
1760823575000,RB2501,3028.71,3029.66,3014.47,3018.78,16853,323
1760823575000,HC2501,3015.46,3020.24,2996.76,3001.72,16190,323
1760823580000,RB2501,3018.85,3022.13,2998.94,3000.15,16262,322
1760823580000,HC2501,3001.5,3002.94,2984.2,2990.46,16725,322
1760823585000,RB2501,2999.16,3010.65,2998.35,3009.3,16470,323
1760823585000,HC2501,2991.16,2993.72,2980.31,2981.72,16353,323
1760823590000,RB2501,3008.69,3011.83,3003.97,3009.8,16659,323
1760823590000,HC2501,2980.73,2993.71,2979.57,2984.33,16803,323
1760823595000,RB2501,3009.79,3036.1,3007.32,3030.19,16917,322
1760823595000,HC2501,2984.94,2995.27,2984.94,2992.04,16101,322
1760823600000,RB2501,3029.43,3033.28,3020.19,3025.05,15494,322
1760823600000,HC2501,2991.88,3008.59,2986.37,2996.43,17131,322
1760823605000,RB2501,3025.42,3031.14,3018.1,3026.04,17871,322
1760823605000,HC2501,2997.13,3010.1,2992.58,3000.35,16379,322
1760823610000,RB2501,3025.09,3032.37,3018.12,3029.4,16287,322
1760823610000,HC2501,2999.45,3006.64,2993.25,2993.25,16756,322
1760823615000,RB2501,3029.97,3036.39,3018.73,3019.48,16385,322
1760823615000,HC2501,2994.22,3004.1,2989.08,3000.92,16307,322
1760823620000,RB2501,3018.52,3035.9,3017.9,3028.39,16577,322
1760823620000,HC2501,3000.87,3011.53,2998.22,2998.49,16533,322
1760823625000,RB2501,3029.2,3045.51,3029.2,3038.38,16358,323
1760823625000,HC2501,2998.6,3021.02,2996.46,3017.87,16277,323
1760823630000,RB2501,3039.09,3043.77,3015.88,3017.09,15539,322
1760823630000,HC2501,3016.89,3016.89,3002.86,3009.79,15949,322
1760823635000,RB2501,3016.45,3023.37,3010.8,3012.62,16073,322
1760823635000,HC2501,3009.16,3009.16,2999.29,3006.02,15999,322
1760823640000,RB2501,3012.97,3017.95,3007.71,3010.96,16835,322
1760823640000,HC2501,3005.05,3031.36,3004.36,3028.71,15726,322
1760823645000,RB2501,3011.14,3016.87,3007.59,3007.59,16807,322
1760823645000,HC2501,3028.11,3035.69,3022.33,3034.43,16784,322
1760823650000,RB2501,3007.26,3018.17,3005.28,3014.15,16571,324
1760823650000,HC2501,3034.32,3052.47,3033.12,3051.8,16540,324
1760823655000,RB2501,3013.49,3014.55,2997.01,2999.56,16112,322
1760823655000,HC2501,3051.96,3052.48,3041.68,3045.21,15836,322
1760823660000,RB2501,2998.76,3007.89,2997.61,3002,16428,323
1760823660000,HC2501,3044.69,3053.87,3027.29,3029.54,16925,323
1760823665000,RB2501,3002.67,3013.98,2997.92,3013.28,16486,322
1760823665000,HC2501,3028.73,3029.73,3012.84,3017.03,15886,322
1760823670000,RB2501,3013.98,3021.07,3011.34,3013.58,15494,323
1760823670000,HC2501,3017.08,3024.34,3015.05,3021.73,16468,323
1760823675000,RB2501,3013.9,3033.8,3013.85,3030.38,16844,322
1760823675000,HC2501,3022.37,3038.57,3022.37,3029.64,16250,322
1760823680000,RB2501,3029.96,3043.42,3021.67,3041.79,16341,322
1760823680000,HC2501,3029.51,3029.75,3009.34,3013.77,16610,322
1760823685000,RB2501,3042.06,3053.8,3036.14,3050.62,16272,323
1760823685000,HC2501,3013.16,3016.88,3006.1,3010.84,16293,323
1760823690000,RB2501,3051.03,3053.37,3036.19,3036.25,16672,322
1760823690000,HC2501,3011.01,3023.37,3005.99,3021.64,16559,322
1760823695000,RB2501,3035.58,3037.54,3017.68,3018.09,15976,322
1760823695000,HC2501,3021.22,3026.94,3009.48,3010.66,16624,322
1760823700000,RB2501,3017.35,3027.06,3016.72,3021.26,16457,323
1760823700000,HC2501,3009.8,3035.15,3008.88,3033.7,16303,323
1760823705000,RB2501,3022.13,3037.6,3019.57,3031.53,16937,323
1760823705000,HC2501,3034.53,3047.88,3032.3,3037.63,16629,323
1760823710000,RB2501,3032.34,3035.05,3020.35,3020.45,16245,323
1760823710000,HC2501,3037.88,3040.13,3022.64,3031.77,16971,323
1760823715000,RB2501,3020.99,3023.77,3010.97,3014.62,16677,323
1760823715000,HC2501,3032.37,3045.66,3028.2,3043.95,16744,323
1760823720000,RB2501,3013.84,3029.57,3010.98,3021.82,16719,321
1760823720000,HC2501,3043.72,3046.03,3025.6,3027.58,16415,321
1760823725000,RB2501,3021.51,3038.64,3017.18,3036.72,16320,323
1760823725000,HC2501,3027.56,3038.69,3026.95,3032.94,16711,323
1760823730000,RB2501,3037.33,3039.65,3025,3028.47,16528,325
1760823730000,HC2501,3032.74,3036.76,3022.43,3024.63,16406,325
1760823735000,RB2501,3028.31,3029.29,3007.93,3007.93,16018,323
1760823735000,HC2501,3023.99,3029.95,3015.2,3029.95,16699,323
1760823740000,RB2501,3008.68,3050.77,3005.75,3048.85,16178,322
1760823740000,HC2501,3029.75,3035.04,3028.54,3033.37,17157,322
1760823745000,RB2501,3048.91,3058.57,3042.58,3054.7,16695,322
1760823745000,HC2501,3034.19,3036.51,3009.96,3013.49,17048,322
1760823750000,RB2501,3054.19,3063.45,3051.13,3054.4,16901,323
1760823750000,HC2501,3014.08,3023.91,3010.17,3010.17,16510,323
1760823755000,RB2501,3053.61,3067.72,3052.75,3064.37,16511,323
1760823755000,HC2501,3010.07,3013.64,2994.99,2999.02,16033,323
1760823760000,RB2501,3064.52,3068.16,3057.36,3060.35,16260,324
1760823760000,HC2501,2998.81,3005.03,2997.3,3004.68,17074,324
1760823765000,RB2501,3060.29,3068.48,3056.25,3060.11,16654,323
1760823765000,HC2501,3005.54,3018.85,2989.31,2991.05,16701,323
1760823770000,RB2501,3059.45,3071.25,3051.85,3067.9,15727,323
1760823770000,HC2501,2990.54,2991.58,2977.1,2983.41,16790,323
1760823775000,RB2501,3067.53,3078.06,3061.72,3076.48,16024,321
1760823775000,HC2501,2983.26,2984.03,2970.15,2970.79,16885,321
1760823780000,RB2501,3077.23,3092.9,3074.92,3086.16,16142,324
1760823780000,HC2501,2970.64,2981.17,2968.75,2977.28,16375,324
1760823785000,RB2501,3085.68,3092.23,3082.57,3087.16,16085,323
1760823785000,HC2501,2976.49,2982.13,2969.63,2979.97,16566,323
1760823790000,RB2501,3087.9,3088.04,3071.32,3076.38,16746,323
1760823790000,HC2501,2979.1,2987.27,2979.05,2986.68,16560,323
1760823795000,RB2501,3075.93,3098.57,3075.05,3094.57,16867,323
1760823795000,HC2501,2986.86,2991.98,2974.58,2975.82,16311,323
1760823800000,RB2501,3094.52,3105.98,3087.8,3093.3,16455,321
1760823800000,HC2501,2976,2978.75,2964.77,2975.49,15875,321
1760823805000,RB2501,3093.86,3098.13,3084.96,3087.41,17017,322
1760823805000,HC2501,2974.63,2981.27,2966.7,2976.42,16909,322
1760823810000,RB2501,3087.46,3087.51,3070.25,3073.68,16555,322
1760823810000,HC2501,2975.73,2988.04,2974.73,2979.51,16406,322
1760823815000,RB2501,3073.55,3088,3066.74,3084.12,16461,322
1760823815000,HC2501,2979.3,2986.82,2973.34,2976.49,15958,322
1760823820000,RB2501,3084.18,3089.75,3071.9,3073.15,16341,321
1760823820000,HC2501,2976.61,2998.43,2972.62,2998.18,16277,321
1760823825000,RB2501,3072.86,3073.63,3061.97,3073.18,15996,322
1760823825000,HC2501,2998.28,3006.1,2995.11,3004.04,16433,322
1760823830000,RB2501,3072.57,3074.01,3063.85,3068.58,16965,322
1760823830000,HC2501,3004.04,3004.04,2975.06,2975.49,16275,322
1760823835000,RB2501,3069.53,3077.8,3068.42,3073.43,16080,322
1760823835000,HC2501,2976.34,2984.92,2975.59,2983.05,16381,322
1760823840000,RB2501,3073.7,3080.89,3069.85,3072.42,16826,323
1760823840000,HC2501,2982.6,2986.78,2973.77,2978.46,16023,323
1760823845000,RB2501,3072.31,3090.19,3067.17,3084.59,16510,322
1760823845000,HC2501,2977.74,2980.46,2953.32,2955.91,16028,322
1760823850000,RB2501,3084.61,3092.06,3076.17,3086.65,16250,322
1760823850000,HC2501,2956.22,2984.22,2955.66,2979.21,16618,322
1760823855000,RB2501,3086.95,3089.56,3065.49,3065.88,16308,321
1760823855000,HC2501,2979.24,2999.7,2978.33,2991.43,15884,321
1760823860000,RB2501,3065.78,3066.93,3046.8,3051.69,16904,322
1760823860000,HC2501,2991.05,3011.17,2990.37,3003.04,16542,322
1760823865000,RB2501,3052.2,3052.2,3025.4,3025.4,16884,322
1760823865000,HC2501,3004.03,3009.82,2999.56,3001.46,16715,322
1760823870000,RB2501,3024.49,3028.53,3016.91,3016.91,17210,322
1760823870000,HC2501,3001.13,3009.91,2991.36,3007.57,16251,322
1760823875000,RB2501,3016.43,3018.31,3003.37,3011.87,16664,322
1760823875000,HC2501,3007.75,3017.47,3006.4,3015.28,16398,322
1760823880000,RB2501,3011.67,3033.73,3010.86,3032.37,16446,322
1760823880000,HC2501,3014.6,3015.53,3000.2,3013.13,16862,322
1760823885000,RB2501,3032.02,3048.3,3030.55,3044,16393,323
1760823885000,HC2501,3013.97,3027.09,3008.75,3025.25,17026,323
1760823890000,RB2501,3043.66,3044.67,3033.44,3043.25,16653,322
1760823890000,HC2501,3025.73,3032.12,3022.32,3030.07,16096,322
1760823895000,RB2501,3043.4,3047.48,3028.24,3033.41,16479,322
1760823895000,HC2501,3030.08,3034.8,3023.14,3030.46,16820,322
1760823900000,RB2501,3034.2,3042.05,3028.37,3037.53,16784,323
1760823900000,HC2501,3030.38,3034.98,3024.34,3026.11,16762,323
1760823905000,RB2501,3037.18,3053.04,3031.14,3052.17,16579,321
1760823905000,HC2501,3026.85,3031.15,3004.5,3007.81,16359,321
1760823910000,RB2501,3051.66,3053.18,3034.82,3040.75,16450,323
1760823910000,HC2501,3008.38,3025.43,3007.29,3024.04,16719,323
1760823915000,RB2501,3040.64,3055.44,3040.23,3042.28,16174,322
1760823915000,HC2501,3024.53,3045.46,3023.77,3036.1,16235,322
1760823920000,RB2501,3041.77,3052.98,3038.14,3043.4,16394,323
1760823920000,HC2501,3035.93,3049.49,3034.88,3044.79,16603,323
1760823925000,RB2501,3043.91,3047.28,3027.79,3029.43,17264,323
1760823925000,HC2501,3043.83,3058.21,3043.36,3044.08,16595,323
1760823930000,RB2501,3030.2,3039.6,3028.15,3032.3,16399,322
1760823930000,HC2501,3044.79,3049.38,3043.12,3046.11,16948,322
1760823935000,RB2501,3031.74,3032.83,3019.97,3022.8,16278,322
1760823935000,HC2501,3046.2,3052.3,3042.22,3044.29,15687,322
1760823940000,RB2501,3022.21,3030.34,3021,3021,16813,322
1760823940000,HC2501,3044.32,3065.25,3043.04,3052.77,16340,322
1760823945000,RB2501,3021.7,3024.33,3011.67,3022.47,16503,323
1760823945000,HC2501,3052.75,3056.17,3044.33,3050.36,16329,323
1760823950000,RB2501,3021.8,3035.48,3016.12,3034.99,16519,322
1760823950000,HC2501,3050.73,3053.39,3041.31,3049.28,16845,322
1760823955000,RB2501,3035.25,3038.64,3020.93,3021.61,16109,323
1760823955000,HC2501,3049,3049.75,3033.29,3038.48,16301,323
1760823960000,RB2501,3021.72,3046.45,3019.68,3042.61,16290,323
1760823960000,HC2501,3037.74,3039.1,3028.05,3036.92,16295,323
1760823965000,RB2501,3042.91,3053.03,3033.38,3042.29,16363,322
1760823965000,HC2501,3037.4,3057.84,3036.67,3057.84,16246,322
1760823970000,RB2501,3042.54,3054.96,3042.54,3050.07,16442,322
1760823970000,HC2501,3057.48,3061.27,3047.63,3050.54,16427,322
1760823975000,RB2501,3050.16,3060.83,3047.3,3052.44,16090,321
1760823975000,HC2501,3050.88,3051.45,3034.76,3042.49,16225,321
1760823980000,RB2501,3052.73,3055.17,3034.92,3039.79,16681,322
1760823980000,HC2501,3042.17,3060.17,3037.71,3060.17,16545,322
1760823985000,RB2501,3038.83,3043.83,3032.96,3036.65,16321,323
1760823985000,HC2501,3060.45,3061.64,3042.03,3042.91,16624,323
1760823990000,RB2501,3037.29,3041.06,3021.77,3038.97,16306,321
1760823990000,HC2501,3043.42,3053.02,3038.62,3038.93,16442,321
1760823995000,RB2501,3039.22,3045.66,3023.85,3024.87,16215,324
1760823995000,HC2501,3038.51,3063.1,3036.53,3061.3,16208,324
1760824000000,RB2501,3024.92,3033.86,3022.27,3032.68,15812,324
1760824000000,HC2501,3060.99,3064.56,3046.82,3055.14,16467,324
1760824005000,RB2501,3032.35,3039.89,3028.89,3039.89,16832,323
1760824005000,HC2501,3055.39,3061.08,3047.08,3048.62,16637,323
1760824010000,RB2501,3040.83,3052.16,3034.73,3050.37,16233,323
1760824010000,HC2501,3049.29,3055.98,3036.55,3037.21,16112,323
1760824015000,RB2501,3051.23,3053.12,3040.08,3048.08,16736,322
1760824015000,HC2501,3037.25,3049.07,3034.27,3041.9,16055,322
1760824020000,RB2501,3048.65,3056.15,3045.79,3050.54,16867,324
1760824020000,HC2501,3042.25,3064.23,3036.14,3058.55,16786,324
1760824025000,RB2501,3050.64,3055.99,3043.2,3046.98,16216,323
1760824025000,HC2501,3058.64,3061.85,3046.41,3047.08,16374,323
1760824030000,RB2501,3046.71,3048.5,3034.48,3041.75,16842,323
1760824030000,HC2501,3046.16,3067.63,3044.68,3059.39,16607,323
1760824035000,RB2501,3041.82,3042.36,3032.2,3038.27,16378,323
1760824035000,HC2501,3059.5,3064.92,3056.21,3062.46,16755,323
1760824040000,RB2501,3038.35,3042.12,3027.29,3032.61,16089,322
1760824040000,HC2501,3061.96,3069.97,3044.54,3049.63,16784,322
1760824045000,RB2501,3031.73,3037.9,3012.3,3014.62,16833,323
