t_start_ms,i,o,h,l,c,v,n
1760858040000,HC2501,2934.05,2943.47,2926.09,2942.52,15922,316
1760858045000,RB2501,3025.31,3051.22,3024.01,3045.51,16426,315
1760858045000,HC2501,2943.18,2944.69,2932.79,2934.43,16066,315
1760858050000,RB2501,3046.3,3058.32,3044.18,3055.09,15972,319
1760858050000,HC2501,2935.2,2949.34,2932.07,2942.59,15918,319
1760858055000,RB2501,3054.27,3057.33,3042.2,3051.47,15697,316
1760858055000,HC2501,2943.15,2950.46,2938.17,2947.44,16488,316
1760858060000,RB2501,3050.59,3064.96,3049.04,3064.34,16045,318
1760858060000,HC2501,2946.64,2952.74,2935.2,2945.52,16560,318
1760858065000,RB2501,3063.95,3073.17,3051.59,3055.32,15978,317
1760858065000,HC2501,2945.02,2945.92,2924.2,2931.89,16187,317
1760858070000,RB2501,3055.48,3067.25,3053.78,3062.88,15993,311
1760858070000,HC2501,2931.43,2935.96,2928.8,2933.44,15833,311
1760858075000,RB2501,3063.46,3065.67,3051.51,3057.57,16678,316
1760858075000,HC2501,2932.59,2953.15,2932.54,2937.45,15496,316
1760858080000,RB2501,3058.06,3061.5,3053.52,3058.52,16929,318
1760858080000,HC2501,2936.72,2942.27,2917.28,2917.67,16128,318
1760858085000,RB2501,3057.64,3073.76,3053.34,3072,16022,316
1760858085000,HC2501,2918.01,2922.63,2909.07,2921.59,16873,316
1760858090000,RB2501,3071.96,3101.78,3070.45,3092.07,15826,319
1760858090000,HC2501,2920.87,2924.08,2901.43,2902.44,15924,319
1760858095000,RB2501,3091.51,3112.35,3088.7,3104.69,15708,315
1760858095000,HC2501,2902.28,2911.75,2897.64,2898.45,16506,315
1760858100000,RB2501,3103.79,3103.98,3081.75,3084.1,16665,316
1760858100000,HC2501,2897.56,2917.79,2894.41,2916.7,16121,316
1760858105000,RB2501,3084.77,3098.78,3080.4,3086.87,15873,314
1760858105000,HC2501,2916.74,2921.38,2913.19,2916.94,15988,314
1760858110000,RB2501,3086.72,3091.02,3080.89,3082.12,16221,316
1760858110000,HC2501,2917.92,2933.79,2914.43,2933.79,15967,316
1760858115000,RB2501,3081.92,3085.93,3070.99,3074.35,15831,318
1760858115000,HC2501,2933.29,2941.44,2927.03,2938.35,16059,318
1760858120000,RB2501,3073.58,3083.53,3069.13,3074.05,16744,318
1760858120000,HC2501,2938.09,2946.92,2935.95,2946.92,16211,318
1760858125000,RB2501,3074.28,3078.96,3067.87,3072.82,15645,319
1760858125000,HC2501,2947.49,2953.28,2941.27,2947.54,15957,319
1760858130000,RB2501,3073.45,3085.25,3064.86,3083.82,16176,316
1760858130000,HC2501,2947.45,2948.73,2936.9,2944.44,16170,316
1760858135000,RB2501,3084.16,3087.78,3077.59,3081.4,15853,315
1760858135000,HC2501,2945.01,2961.57,2944.09,2959.09,16054,315
1760858140000,RB2501,3081.07,3095.03,3079.17,3090.88,16214,318
1760858140000,HC2501,2960.04,2967.88,2958.09,2960.08,15589,318
1760858145000,RB2501,3091.3,3095.86,3077.54,3079.43,16383,318
1760858145000,HC2501,2960.91,2973.11,2958.16,2965.01,16145,318
1760858150000,RB2501,3078.54,3081.7,3062.84,3074.25,15752,316
1760858150000,HC2501,2964.57,2981.64,2963.12,2978.05,15331,316
1760858155000,RB2501,3073.34,3080.15,3071.68,3076.43,16672,319
1760858155000,HC2501,2978.35,2978.99,2956.34,2956.94,16718,319
1760858160000,RB2501,3076.26,3083.88,3070.31,3071.07,15797,314
1760858160000,HC2501,2956.2,2964.22,2953.39,2962.69,15934,314
1760858165000,RB2501,3071.5,3074.42,3044.34,3053.8,16370,320
1760858165000,HC2501,2963.65,2972.51,2953.71,2972.51,15849,320
1760858170000,RB2501,3054.15,3063.36,3050.73,3056.17,15477,315
1760858170000,HC2501,2972.82,2981.89,2971.43,2977.46,15398,315
1760858175000,RB2501,3056.8,3062.79,3050.64,3058.11,15582,314
1760858175000,HC2501,2978.29,2988.84,2975.86,2982.53,15945,314
1760858180000,RB2501,3058.62,3063.59,3053.46,3063.59,16081,315
1760858180000,HC2501,2982.1,2987.82,2969.63,2975.68,15552,315
1760858185000,RB2501,3063.69,3066.72,3044.71,3047.16,16072,315
1760858185000,HC2501,2975.8,2984.93,2971.11,2984.69,16141,315
1760858190000,RB2501,3047.47,3061.34,3046.81,3060.37,15776,314
1760858190000,HC2501,2985.54,2986.52,2976.28,2981.12,15725,314
1760858195000,RB2501,3061.19,3063.49,3049.29,3049.88,16232,319
1760858195000,HC2501,2980.71,2988.93,2973.17,2986.52,16480,319
1760858200000,RB2501,3049.46,3058.04,3045.37,3049.25,16468,320
1760858200000,HC2501,2986.52,2991.61,2981.67,2987.85,16581,320
1760858205000,RB2501,3048.49,3052.63,3035.43,3044.21,16122,315
1760858205000,HC2501,2988.26,2989.22,2977.66,2978.02,15821,315
1760858210000,RB2501,3043.21,3055.12,3039.77,3040.12,15740,318
1760858210000,HC2501,2977.99,2984.46,2971.04,2978.6,16938,318
1760858215000,RB2501,3039.98,3041.36,3028.78,3032.7,15574,314
1760858215000,HC2501,2979.05,2979.05,2966.9,2967.77,16326,314
1760858220000,RB2501,3032.28,3039.97,3028.63,3033.28,16286,317
1760858220000,HC2501,2967.01,2980.26,2965.71,2971.71,15778,317
1760858225000,RB2501,3033.05,3042,3023.47,3026.27,15879,316
1760858225000,HC2501,2971.61,2973.39,2959.35,2967.06,15718,316
1760858230000,RB2501,3027.25,3027.26,3016.7,3021.61,16574,320
1760858230000,HC2501,2967.59,2969.57,2954.63,2963.52,16442,320
1760858235000,RB2501,3022.38,3033.46,3009.11,3011.6,15622,316
1760858235000,HC2501,2963.42,2973.07,2961.5,2963.36,15969,316
1760858240000,RB2501,3012.08,3017.85,3008.22,3008.5,15458,318
1760858240000,HC2501,2963.26,2966.44,2954.53,2954.53,15964,318
1760858245000,RB2501,3007.64,3007.64,2994.71,2995.61,15719,312
1760858245000,HC2501,2954.37,2964.2,2950.8,2961.12,15668,312
1760858250000,RB2501,2995.01,3000.83,2980.46,2981.96,15505,316
1760858250000,HC2501,2961.83,2964.32,2949.89,2951.43,16394,316
1760858255000,RB2501,2981.25,2982.92,2972.54,2978.09,16322,317
1760858255000,HC2501,2951.93,2959.4,2947.09,2947.09,16174,317
1760858260000,RB2501,2977.68,2978.75,2951.77,2955.06,16107,315
1760858260000,HC2501,2946.93,2956.51,2936.86,2942.78,15736,315
1760858265000,RB2501,2954.31,2966.29,2953.6,2965.34,15578,317
1760858265000,HC2501,2943.54,2951.41,2941.91,2945.29,16313,317
1760858270000,RB2501,2965.79,2987.01,2963.82,2981.77,16256,314
1760858270000,HC2501,2945.18,2949.49,2936.54,2936.54,16182,314
1760858275000,RB2501,2982.66,2995.5,2981.74,2992.34,15468,314
1760858275000,HC2501,2937.13,2943.35,2924.62,2924.62,15989,314
1760858280000,RB2501,2991.9,2994.09,2975.63,2977.18,16051,314
1760858280000,HC2501,2925.57,2930.97,2909.61,2912,15948,314
1760858285000,RB2501,2976.95,2979.59,2967.34,2967.52,15595,315
1760858285000,HC2501,2911.17,2929.59,2909.64,2928.97,15435,315
1760858290000,RB2501,2967.77,2977.29,2959.22,2961.81,16352,314
1760858290000,HC2501,2929.33,2938.7,2927.89,2934.5,16198,314
1760858295000,RB2501,2960.91,2970.22,2949.73,2955.9,16533,317
1760858295000,HC2501,2933.93,2946.37,2926.87,2927.1,15780,317
1760858300000,RB2501,2955.83,2987.7,2955.14,2987.7,16158,319
1760858300000,HC2501,2927.84,2939.33,2924.41,2933.9,16491,319
1760858305000,RB2501,2988.1,2992.77,2978.06,2985.41,16544,315
1760858305000,HC2501,2933.44,2945.42,2932.83,2938.98,16602,315
1760858310000,RB2501,2984.42,2984.76,2968.8,2971.61,15780,317
1760858310000,HC2501,2938.13,2941.63,2917.83,2923.02,16015,317
1760858315000,RB2501,2970.62,2986.77,2969.36,2981.26,16514,318
1760858315000,HC2501,2922.66,2925.52,2912.46,2916.39,15978,318
1760858320000,RB2501,2981.05,2992.45,2978.65,2988.77,15699,314
1760858320000,HC2501,2916.46,2923.72,2910.39,2917.92,15921,314
1760858325000,RB2501,2989.36,2989.36,2975.86,2977.37,16532,313
1760858325000,HC2501,2918.55,2938.03,2918.24,2921.14,15818,313
1760858330000,RB2501,2976.4,2977.49,2967.05,2973.85,15736,313
1760858330000,HC2501,2921.36,2936.46,2920.04,2931.19,16319,313
1760858335000,RB2501,2974.52,2992.92,2969.98,2992.25,16514,319
1760858335000,HC2501,2931.61,2931.61,2908.36,2917.04,16776,319
1760858340000,RB2501,2991.63,2994.93,2982.47,2983.43,15963,315
1760858340000,HC2501,2917.25,2926.64,2912.15,2921.53,16325,315
1760858345000,RB2501,2983.28,2996.97,2981.92,2996.97,16160,311
1760858345000,HC2501,2921.49,2925.82,2910.71,2919.81,16151,311
1760858350000,RB2501,2997.9,3002.8,2993.83,2997.35,15977,315
1760858350000,HC2501,2919.28,2942.44,2915.02,2939.82,15944,315
1760858355000,RB2501,2997.01,3001.18,2981.19,2999.48,16166,315
1760858355000,HC2501,2940.04,2950.26,2931.24,2931.24,15830,315
1760858360000,RB2501,2999.48,3006.66,2989.82,2990.02,16001,314
1760858360000,HC2501,2931.17,2944.7,2929.86,2934.36,16613,314
1760858365000,RB2501,2990.58,2991.72,2974.84,2981.1,16129,317
1760858365000,HC2501,2933.66,2946.09,2932.19,2937.76,16024,317
1760858370000,RB2501,2981.44,2999.61,2981.44,2985.61,16371,317
1760858370000,HC2501,2937.63,2940.57,2925.57,2932.59,16337,317
1760858375000,RB2501,2985.79,2991.37,2979.67,2986.97,15968,310
1760858375000,HC2501,2933.37,2937.78,2927.08,2931.46,15510,310
1760858380000,RB2501,2986.07,2995.52,2978.1,2986.56,15902,311
1760858380000,HC2501,2930.84,2933.77,2919.36,2932.08,16238,311
1760858385000,RB2501,2987.38,3003.27,2987.38,2995.3,16318,318
1760858385000,HC2501,2931.63,2949.4,2930.22,2947.95,15568,318
1760858390000,RB2501,2995.13,3003.37,2988.13,3000.37,16302,320
1760858390000,HC2501,2947.47,2953.42,2938.5,2945.95,16388,320
1760858395000,RB2501,3000.76,3013.5,2995.84,3012.75,15795,314
1760858395000,HC2501,2946.75,2951.86,2941.81,2941.81,15938,314
1760858400000,RB2501,3013.7,3029.07,3013.4,3027.21,16153,314
1760858400000,HC2501,2942.1,2950.7,2936.5,2936.7,16298,314
1760858405000,RB2501,3027.57,3034.62,3024.19,3034.62,15323,312
1760858405000,HC2501,2937.19,2956.54,2937.19,2943.26,15216,312
1760858410000,RB2501,3035.45,3036.76,3019.35,3026.53,16893,318
1760858410000,HC2501,2944.14,2944.14,2927.87,2937.2,15632,318
1760858415000,RB2501,3027.15,3031.23,3021.66,3027,16670,312
1760858415000,HC2501,2937.39,2951.02,2936.06,2939.12,15470,312
1760858420000,RB2501,3026.2,3034.89,3022.6,3032.62,16213,316
1760858420000,HC2501,2939.2,2957.17,2938.95,2951.2,16261,316
1760858425000,RB2501,3032.09,3049.2,3030.85,3039.02,16516,321
1760858425000,HC2501,2950.69,2957.02,2939.64,2955.63,16379,321
1760858430000,RB2501,3039.06,3041.01,3019.76,3022.93,15856,316
1760858430000,HC2501,2956.03,2960.28,2950.87,2950.91,16159,316
1760858435000,RB2501,3023.82,3024.41,3005.29,3005.84,15891,318
1760858435000,HC2501,2949.95,2964.1,2948.36,2964.1,15664,318
1760858440000,RB2501,3005.84,3022.22,3004.35,3020.97,15745,318
1760858440000,HC2501,2964.03,2972.52,2959.77,2963.36,15421,318
1760858445000,RB2501,3021.65,3028.03,3016.45,3027.8,16170,315
1760858445000,HC2501,2963.7,2963.7,2951.02,2958.78,15653,315
1760858450000,RB2501,3028.79,3050.53,3022.37,3046.14,16072,314
1760858450000,HC2501,2959.24,2963.58,2946.61,2953.29,15778,314
1760858455000,RB2501,3045.59,3047.22,3026.16,3034.61,16364,315
1760858455000,HC2501,2954.21,2955.87,2948.52,2954.47,16204,315
1760858460000,RB2501,3033.75,3041.58,3031.12,3039.48,16680,317
1760858460000,HC2501,2954.94,2962.16,2950.34,2952.83,16143,317
1760858465000,RB2501,3039.06,3053.52,3037.38,3053.52,15751,317
1760858465000,HC2501,2952.51,2952.89,2939.35,2940.2,16247,317
1760858470000,RB2501,3053.64,3054.32,3040.01,3043.6,16616,319
1760858470000,HC2501,2939.4,2941.33,2933.41,2935.32,17129,319
1760858475000,RB2501,3043.94,3055.36,3043.82,3047.73,15982,316
1760858475000,HC2501,2934.45,2939.05,2925.73,2933.33,16301,316
1760858480000,RB2501,3047.33,3062.54,3044.33,3062.53,15559,316
1760858480000,HC2501,2932.56,2938.17,2922.96,2928.58,15666,316
1760858485000,RB2501,3062.87,3081.76,3061.45,3080.55,15735,311
1760858485000,HC2501,2929.4,2939,2922.24,2927.89,16068,311
1760858490000,RB2501,3080.51,3080.86,3065.55,3072.63,16083,318
1760858490000,HC2501,2927.76,2937.57,2922.46,2923.07,15660,318
1760858495000,RB2501,3072.11,3089.89,3070.2,3089.79,15855,317
1760858495000,HC2501,2923.61,2926.24,2907.75,2911.4,16476,317
1760858500000,RB2501,3089.2,3093.39,3079.4,3080.48,16064,316
1760858500000,HC2501,2912.17,2915.69,2898.94,2905.11,16488,316
1760858505000,RB2501,3080.02,3088.27,3075.53,3080.03,16455,319
1760858505000,HC2501,2904.93,2911.85,2897.71,2907.28,16325,319
1760858510000,RB2501,3079.45,3079.45,3059.55,3064.41,16629,320
1760858510000,HC2501,2906.65,2916.92,2901.74,2906.76,16212,320
1760858515000,RB2501,3064.07,3076.15,3061.95,3065.44,16198,314
1760858515000,HC2501,2906.67,2915.53,2904.31,2913.27,16068,314
1760858520000,RB2501,3064.63,3070.92,3049.24,3068.22,15988,312
1760858520000,HC2501,2913.3,2922.18,2901.83,2922.05,15809,312
1760858525000,RB2501,3068.61,3080.88,3066.67,3080.88,16157,319
1760858525000,HC2501,2922.89,2928.15,2918.66,2923.33,16704,319
1760858530000,RB2501,3080.54,3086.89,3077.09,3080.71,15775,318
1760858530000,HC2501,2922.71,2924.87,2911.86,2913.38,16543,318
1760858535000,RB2501,3081.49,3097.17,3080.74,3093.8,16498,314
1760858535000,HC2501,2913.79,2914.13,2898.58,2910.58,16025,314
1760858540000,RB2501,3093.03,3104.71,3089.62,3094.29,16383,316
1760858540000,HC2501,2910.03,2912.12,2892.38,2894.25,16436,316
1760858545000,RB2501,3093.9,3093.9,3077.98,3080.21,16454,320
1760858545000,HC2501,2894.49,2905.4,2889.82,2904.69,16687,320
1760858550000,RB2501,3080.9,3089.44,3072.48,3084.51,15054,308
1760858550000,HC2501,2905.35,2909.05,2898.62,2902.07,15871,308
1760858555000,RB2501,3084.25,3085.43,3069.99,3071.67,16427,316
1760858555000,HC2501,2902.51,2910.58,2900.6,2906.56,15979,316
1760858560000,RB2501,3070.97,3087.88,3070.07,3086.84,15467,310
1760858560000,HC2501,2907.51,2908.98,2890.39,2894.27,15366,310
1760858565000,RB2501,3087.07,3087.64,3075.31,3079.91,16501,318
1760858565000,HC2501,2895.2,2895.51,2879.73,2886.48,16260,318
1760858570000,RB2501,3078.94,3078.94,3052.86,3053.7,15820,316
1760858570000,HC2501,2886.36,2899.52,2882.3,2895.92,16271,316
1760858575000,RB2501,3053.7,3055.42,3042.38,3047.14,15904,318
1760858575000,HC2501,2895.85,2901.84,2886.48,2890.05,16924,318
1760858580000,RB2501,3047.7,3047.7,3033.78,3038.04,16306,318
1760858580000,HC2501,2890.11,2906.22,2884.57,2904.65,16126,318
1760858585000,RB2501,3038.5,3046.98,3037.15,3042.98,15614,316
1760858585000,HC2501,2904.94,2911.26,2896.7,2899.29,16056,316
1760858590000,RB2501,3043.3,3049.38,3037.22,3044.89,15732,316
1760858590000,HC2501,2899.79,2913.11,2898.63,2911.22,16474,316
1760858595000,RB2501,3045.64,3049.62,3039.48,3047.52,15916,314
1760858595000,HC2501,2910.71,2929.51,2910.43,2925.72,15842,314
1760858600000,RB2501,3048.31,3061.81,3045.66,3051.19,16010,317
1760858600000,HC2501,2925.2,2937.14,2923.79,2933.47,16064,317
1760858605000,RB2501,3051.14,3051.14,3028.28,3029.4,16302,316
1760858605000,HC2501,2933.7,2937.48,2923.84,2929.55,15905,316
1760858610000,RB2501,3029.28,3048.55,3029.28,3037.14,15719,314
1760858610000,HC2501,2928.78,2929.02,2916.57,2920.02,16163,314
1760858615000,RB2501,3036.72,3059.77,3036.64,3057.22,15715,313
1760858615000,HC2501,2919.89,2925.93,2916.67,2919.71,15985,313
1760858620000,RB2501,3056.85,3061.5,3046.97,3049.97,15869,315
1760858620000,HC2501,2920.7,2930.13,2908.61,2918.59,16212,315
1760858625000,RB2501,3050.93,3051.43,3038.53,3042.82,16349,313
1760858625000,HC2501,2917.61,2925.82,2909.44,2914.15,15856,313
1760858630000,RB2501,3042.06,3046.19,3035.44,3043.25,16341,315
1760858630000,HC2501,2913.77,2917.63,2902.92,2912.69,15895,315
1760858635000,RB2501,3044.18,3062.15,3040.98,3061.03,16802,318
1760858635000,HC2501,2912.92,2914.34,2892.81,2897.38,16281,318
1760858640000,RB2501,3060.1,3072.39,3057.55,3071.03,15359,312
1760858640000,HC2501,2897.96,2900.67,2889.69,2889.69,15154,312
1760858645000,RB2501,3071.29,3079.21,3066.33,3068.45,16099,314
1760858645000,HC2501,2890.64,2898.52,2885.59,2888.44,16097,314
1760858650000,RB2501,3067.47,3084.68,3066.92,3080.18,16203,313
1760858650000,HC2501,2889.3,2895.55,2880.04,2894.28,16301,313
1760858655000,RB2501,3079.86,3083.53,3069.51,3072.51,16214,315
1760858655000,HC2501,2894.82,2908.46,2891.66,2907.28,16088,315
1760858660000,RB2501,3072.17,3072.95,3060.33,3062.12,16354,316
1760858660000,HC2501,2908.2,2918.25,2908.2,2911.19,15927,316
1760858665000,RB2501,3062.74,3070.99,3060.77,3067.44,15692,316
1760858665000,HC2501,2910.44,2920.43,2904.89,2913.19,15892,316
1760858670000,RB2501,3066.71,3073.23,3055.91,3062.49,15882,312
1760858670000,HC2501,2913.63,2916.18,2904.52,2912.52,16330,312
1760858675000,RB2501,3061.74,3070.89,3058.33,3065.38,16054,316
1760858675000,HC2501,2912.22,2917.21,2908.24,2914.67,16031,316
1760858680000,RB2501,3066.08,3067.97,3055.24,3055.36,16828,316
1760858680000,HC2501,2914.99,2916.51,2904.41,2916.21,15760,316
1760858685000,RB2501,3055.23,3057.36,3023.38,3023.93,16789,320
1760858685000,HC2501,2917.07,2925.35,2915.25,2918.46,15836,320
1760858690000,RB2501,3023.79,3039.17,3020.91,3036.97,16292,312
1760858690000,HC2501,2917.71,2923.07,2912.21,2912.66,15663,312
1760858695000,RB2501,3037.37,3046.47,3027.18,3028.96,16868,315
1760858695000,HC2501,2913.27,2920.65,2911.47,2913.42,15596,315
1760858700000,RB2501,3029.85,3039.5,3025.37,3037.52,16464,319
1760858700000,HC2501,2913.37,2926.24,2911.31,2921.92,16193,319
1760858705000,RB2501,3037.34,3046.87,3030.05,3042.78,15891,317
1760858705000,HC2501,2922.4,2942.79,2922.4,2935.35,16127,317
1760858710000,RB2501,3042.58,3043.47,3024.21,3024.21,16504,314
1760858710000,HC2501,2934.7,2939.05,2916.13,2916.13,16243,314
1760858715000,RB2501,3023.59,3044.63,3020.54,3043,15527,315
1760858715000,HC2501,2916.64,2937.85,2913.44,2931.95,16320,315
1760858720000,RB2501,3043.37,3047.04,3027.75,3031.71,16257,321
1760858720000,HC2501,2931.07,2934.04,2915.42,2916.44,16168,321
1760858725000,RB2501,3031.42,3042.26,3028.06,3037.14,15698,313
1760858725000,HC2501,2916.13,2935.01,2913.05,2932.5,16040,313
1760858730000,RB2501,3036.73,3037.44,3023.25,3035.1,16642,317
1760858730000,HC2501,2932.01,2945.82,2932.01,2936.59,15964,317
1760858735000,RB2501,3035.95,3039.78,3029.52,3033.5,15903,313
1760858735000,HC2501,2937.05,2946.48,2935.32,2941.89,15359,313
1760858740000,RB2501,3033.96,3049.33,3032.1,3041.99,15792,315
1760858740000,HC2501,2941.16,2942.91,2930.93,2935.48,16055,315
1760858745000,RB2501,3041.88,3058.38,3039.79,3050.12,16428,317
1760858745000,HC2501,2934.92,2941.52,2929.68,2931.79,16282,317
1760858750000,RB2501,3050.35,3051.77,3038.53,3046.42,15881,314
1760858750000,HC2501,2931.95,2944.86,2927.56,2935.06,16402,314
1760858755000,RB2501,3045.68,3047.9,3027.79,3029.17,16529,320
1760858755000,HC2501,2935.37,2960.83,2934.63,2958.83,16563,320
1760858760000,RB2501,3030.13,3042.3,3024.62,3039.46,15964,314
1760858760000,HC2501,2958.36,2959,2943.06,2950.74,16211,314
1760858765000,RB2501,3039.94,3048.94,3039.2,3041.92,15349,317
1760858765000,HC2501,2951.41,2952.4,2930.08,2938.39,16037,317
1760858770000,RB2501,3042.29,3053.32,3041.1,3049.21,16089,318
1760858770000,HC2501,2938.36,2946.92,2937.15,2944.92,16873,318
1760858775000,RB2501,3050.03,3062.56,3047.82,3058.09,16025,315
1760858775000,HC2501,2945.26,2969.09,2944.07,2958.31,15906,315
1760858780000,RB2501,3058.88,3059.79,3047.59,3050.12,16292,317
1760858780000,HC2501,2958.29,2969.79,2950.95,2958.99,16797,317
1760858785000,RB2501,3049.25,3060.11,3046.36,3050.62,16071,315
1760858785000,HC2501,2959.62,2962.02,2949.99,2952.3,15735,315
1760858790000,RB2501,3050.65,3052.53,3040.92,3044.51,16167,320
1760858790000,HC2501,2952.16,2954.25,2938.91,2940.53,16090,320
1760858795000,RB2501,3045.31,3055.06,3042.73,3052.5,16021,314
1760858795000,HC2501,2940.98,2943.59,2925.59,2929.69,16212,314
1760858800000,RB2501,3052.73,3068.82,3049.7,3066.25,15687,313
1760858800000,HC2501,2929.87,2934.56,2923.56,2930.1,16497,313
1760858805000,RB2501,3066.69,3073.68,3062.53,3067.08,16247,318
1760858805000,HC2501,2930.36,2934.98,2908.25,2908.25,16323,318
1760858810000,RB2501,3066.21,3092.62,3061.36,3087.44,16755,320
1760858810000,HC2501,2908.53,2911.38,2895.72,2900.2,15453,320
1760858815000,RB2501,3088.02,3104.92,3086.77,3097.04,16820,319
1760858815000,HC2501,2899.73,2913.38,2899.15,2909.13,16949,319
1760858820000,RB2501,3096.45,3105.5,3091.11,3105.45,15985,317
1760858820000,HC2501,2908.68,2914.64,2903.95,2907.67,15820,317
1760858825000,RB2501,3104.97,3117.04,3104.97,3112.04,15960,318
1760858825000,HC2501,2907.3,2909.93,2892.21,2894.19,16089,318
1760858830000,RB2501,3111.86,3113.09,3098.76,3106.11,16148,320
1760858830000,HC2501,2893.45,2894.35,2872.53,2873.85,15997,320
1760858835000,RB2501,3105.68,3110.68,3093.4,3109.72,15873,314
1760858835000,HC2501,2874.08,2882.03,2868.13,2875.24,15949,314
1760858840000,RB2501,3110.41,3125.31,3101.73,3113.57,16259,316
1760858840000,HC2501,2875.33,2876.41,2857.68,2858.6,15298,316
1760858845000,RB2501,3113.15,3132.24,3111.52,3131.6,17378,316
1760858845000,HC2501,2858.29,2868.02,2853.74,2858.25,16005,316
1760858850000,RB2501,3131.49,3132.85,3119.6,3125.72,16474,321
1760858850000,HC2501,2857.87,2864.48,2850.97,2862.18,16179,321
1760858855000,RB2501,3125.58,3132.18,3117.36,3128.84,15864,314
1760858855000,HC2501,2861.99,2870.13,2847.52,2847.52,16149,314
1760858860000,RB2501,3129.23,3129.23,3112.9,3120.45,16373,316
1760858860000,HC2501,2847.05,2850.75,2841.02,2846.31,16302,316
1760858865000,RB2501,3120.89,3124.51,3108.66,3112.36,16510,313
1760858865000,HC2501,2846.3,2852.87,2838.03,2839.88,16187,313
1760858870000,RB2501,3111.96,3122.02,3103.04,3110.59,16407,320
1760858870000,HC2501,2839.55,2842.1,2830.42,2842.08,16198,320
1760858875000,RB2501,3109.62,3125.67,3109.06,3123.81,16482,317
1760858875000,HC2501,2841.2,2858.2,2841.2,2855.68,16559,317
1760858880000,RB2501,3124.6,3130.36,3116.16,3125.82,15500,319
1760858880000,HC2501,2856.56,2856.56,2838.74,2842.52,15473,319
1760858885000,RB2501,3126.4,3136.28,3121.34,3136.28,16498,318
1760858885000,HC2501,2841.92,2843.3,2828.87,2836.87,15384,318
1760858890000,RB2501,3136.21,3136.61,3122.35,3127.27,16645,318
1760858890000,HC2501,2836.73,2847.52,2834.99,2839.81,16303,318
1760858895000,RB2501,3127.35,3140.62,3120.97,3120.97,16036,319
1760858895000,HC2501,2839.63,2842.64,2832.62,2837.47,16655,319
1760858900000,RB2501,3121.14,3124.43,3111.45,3114.9,16285,314
1760858900000,HC2501,2836.57,2847.13,2833.4,2836.26,15764,314
1760858905000,RB2501,3115.44,3124.07,3113.64,3119.74,15866,313
1760858905000,HC2501,2836.32,2838.53,2816.43,2816.74,15997,313
1760858910000,RB2501,3118.89,3119.67,3090.88,3092.95,17159,320
1760858910000,HC2501,2816.74,2832.03,2816.26,2830.07,15521,320
1760858915000,RB2501,3092.58,3101.37,3087.15,3096.93,15964,319
1760858915000,HC2501,2829.21,2838.44,2823.87,2831.33,16654,319
1760858920000,RB2501,3097.8,3099.19,3090.06,3096.48,17329,316
